16	4.54344e-06	9.08687e-06	1.36303e-05	1.81737e-05
16	3.58185e-06	7.1637e-06	1.07455e-05	1.43274e-05
196	0.000244539	0.000489079	0.000733618	0.000978157
196	0.000200291	0.000400582	0.000600873	0.000801164
196	0.000270995	0.00054199	0.000812985	0.00108398
196	0.000215994	0.000431987	0.000647981	0.000863975
576	0.00138191	0.00276383	0.00414574	0.00552765
576	0.00112509	0.00225019	0.00337528	0.00450037
576	0.00153209	0.00306417	0.00459626	0.00612835
576	0.00119368	0.00238737	0.00358105	0.00477474
1156	0.00546569	0.0109314	0.0163971	0.0218628
